probability packetsize time size throughput
0.000 10 501.955 59792 119.118248 
0.000 50 177.433 59792 336.983551 
0.000 100 85.169 59792 702.039490 
0.000 500 8.814 59792 6783.752930 
0.000 1000 3.557 59792 16809.671875 
0.000 10000 0.599 59792 99819.703125 
0.200 10 604.115 59792 98.974533 
0.200 50 205.152 59792 291.452209 
0.200 100 137.873 59792 433.674469 
0.200 500 8.294 59792 7209.066895 
0.200 1000 3.903 59792 15319.497070 
0.200 10000 0.575 59792 103986.085938 
0.500 10 1048.453 59792 57.028786 
0.500 50 277.632 59792 215.364227 
0.500 100 219.158 59792 272.825989 
0.500 500 15.626 59792 3826.443115 
0.500 1000 7.506 59792 7965.894043 
0.500 10000 1.313 59792 45538.460938 
0.800 10 2679.342 59792 22.315926 
0.800 50 584.448 59792 102.305084 
0.800 100 361.844 59792 165.242477 
0.800 500 189.923 59792 314.822327 
0.800 1000 60.127 59792 994.428467 
0.800 10000 2.457 59792 24335.369141 
0.900 10 5617.824 59792 10.643267 
0.900 50 1181.678 59792 50.599232 
0.900 100 637.233 59792 93.830673 
0.900 500 226.303 59792 264.212158 
0.900 1000 130.491 59792 458.207855 
0.900 10000 3.590 59792 16655.154297 
0.500 10 1051.215 59792 56.878948 
0.500 20 574.874 59792 104.008873 
0.500 50 286.989 59792 208.342468 
0.500 100 93.403 59792 640.150757 
0.500 150 79.666 59792 750.533447 
0.500 200 146.252 59792 408.828613 
0.500 250 127.736 59792 468.090424 
0.500 300 99.952 59792 598.207092 
0.500 350 50.024 59792 1195.266357 
0.500 400 17.410 59792 3434.348145 
0.500 450 43.152 59792 1385.613647 
0.500 500 15.430 59792 3875.048584 
0.500 550 17.201 59792 3476.076904 
0.500 600 16.615 59792 3598.676025 
0.500 650 14.010 59792 4267.808594 
0.500 700 9.929 59792 6021.956055 
0.500 750 10.320 59792 5793.798828 
0.500 800 9.794 59792 6104.962402 
0.500 850 9.410 59792 6354.091309 
0.500 900 12.281 59792 4868.658691 
0.500 950 10.149 59792 5891.417969 
0.500 1000 7.714 59792 7751.101562 
0.500 1100 11.909 59792 5020.740234 
0.500 1200 7.276 59792 8217.702148 
0.500 1300 4.427 59792 13506.211914 
0.500 1400 6.114 59792 9779.522461 
0.500 1500 5.323 59792 11232.763672 
0.500 1600 5.913 59792 10111.956055 
0.500 1700 4.776 59792 12519.262695 
0.500 1800 4.566 59792 13095.050781 
0.500 1900 4.891 59792 12224.903320 
0.500 2000 4.348 59792 13751.609375 
0.500 2500 4.909 59792 12180.077148 
0.500 3000 3.430 59792 17432.070312 
0.500 3500 2.880 59792 20761.109375 
0.500 4000 2.261 59792 26444.937500 
0.500 4500 2.488 59792 24032.154297 
0.500 5000 1.924 59792 31076.921875 
0.500 5500 1.604 59792 37276.808594 
0.500 6000 1.469 59792 40702.519531 
0.500 6500 1.785 59792 33496.917969 
0.500 7000 1.431 59792 41783.367188 
0.500 7500 1.046 59792 57162.523438 
0.500 8000 1.336 59792 44754.492188 
0.500 8500 1.407 59792 42496.093750 
0.500 9000 1.222 59792 48929.625000 
0.500 9500 1.230 59792 48611.382812 
0.500 10000 1.013 59792 59024.679688 
0.500 15000 0.499 59792 119823.640625 
0.500 20000 0.511 59792 117009.789062 
0.500 25000 0.417 59792 143386.093750 
0.500 30000 0.389 59792 153706.937500 
0.500 35000 0.578 59792 103446.367188 
0.500 40000 0.412 59792 145126.218750 
0.500 45000 0.590 59792 101342.375000 
0.500 50000 0.516 59792 115875.976562 
0.000 500 8.128 59792 7356.298828 
0.050 500 5.174 59792 11556.243164 
0.100 500 5.453 59792 10964.973633 
0.150 500 7.003 59792 8538.055664 
0.200 500 7.013 59792 8525.880859 
0.250 500 12.306 59792 4858.768066 
0.300 500 13.285 59792 4500.715332 
0.350 500 13.580 59792 4402.945312 
0.400 500 14.368 59792 4161.469727 
0.450 500 10.707 59792 5584.384277 
0.500 500 16.989 59792 3519.453613 
0.550 500 16.110 59792 3711.483398
0.600 500 7.083 59792 8441.620117 
0.650 500 12.952 59792 4616.430176 
0.700 500 19.432 59792 3076.986572 
0.750 500 36.370 59792 1643.992310 
0.800 500 52.138 59792 1146.802734 
0.850 500 27.818 59792 2149.399658 
0.900 500 56.070 59792 1066.381348 
0.950 500 131.015 59792 456.375214 
